ip_address,username,failed_attempts,successful_attempts,time_window,label
192.168.219.127,admin,111,0,1,1
192.168.125.27,test,0,1,1,0
192.168.140.61,guest,86,0,5,1
192.168.216.170,guest,3,1,5,0
192.168.176.242,guest,121,0,10,1
192.168.113.199,user,3,1,30,0
192.168.11.188,guest,2,0,1,0
192.168.82.82,test,2,0,10,0
192.168.102.98,guest,65,0,1,1
192.168.147.138,admin,3,0,10,0
192.168.155.129,user,176,0,1,1
192.168.209.211,guest,3,1,1,0
192.168.163.185,guest,1,1,5,0
192.168.126.65,guest,0,1,30,0
192.168.34.9,test,2,1,10,0
192.168.41.126,user,3,1,30,0
192.168.165.91,test,2,1,5,0
192.168.64.166,guest,2,1,5,0
192.168.82.147,guest,2,0,30,0
192.168.165.167,test,162,0,10,1
192.168.155.43,admin,2,1,30,0
192.168.192.120,test,3,1,5,0
192.168.239.64,test,2,1,10,0
192.168.218.228,user,91,0,1,1
192.168.162.44,user,104,0,30,1
192.168.176.22,guest,162,0,1,1
192.168.142.7,guest,2,1,5,0
192.168.23.156,test,0,1,30,0
192.168.68.85,user,3,1,30,0
192.168.128.213,admin,2,1,1,0
192.168.100.175,test,2,1,1,0
192.168.148.109,guest,1,0,10,0
192.168.146.21,guest,3,1,30,0
192.168.7.78,guest,1,1,1,0
192.168.74.10,guest,0,1,5,0
192.168.126.99,test,2,1,5,0
192.168.37.228,user,2,1,5,0
192.168.115.113,admin,2,0,1,0
192.168.35.17,test,176,0,5,1
192.168.41.80,user,1,0,5,0
192.168.208.9,admin,113,0,5,1
192.168.78.61,guest,1,0,1,0
192.168.27.179,user,3,1,10,0
192.168.17.81,admin,0,1,5,0
192.168.122.243,test,1,1,1,0
192.168.75.173,test,3,0,1,0
192.168.67.211,admin,190,0,30,1
192.168.200.251,test,0,1,1,0
192.168.220.118,admin,1,0,30,0
192.168.64.220,admin,0,0,10,0
192.168.70.148,user,169,0,30,1
192.168.233.214,admin,1,0,30,0
192.168.9.143,guest,1,0,1,0
192.168.81.154,user,1,0,30,0
192.168.201.223,test,0,0,30,0
192.168.243.58,test,127,0,10,1
192.168.100.85,test,2,0,10,0
192.168.223.213,admin,123,0,1,1
192.168.129.68,test,2,0,30,0
192.168.172.206,test,1,1,1,0
192.168.186.48,test,1,0,1,0
192.168.34.153,guest,1,1,5,0
192.168.128.175,guest,0,1,30,0
192.168.94.135,test,153,0,30,1
192.168.24.35,user,3,1,1,0
192.168.232.60,admin,1,1,10,0
192.168.142.43,admin,0,1,5,0
192.168.59.49,user,0,1,5,0
192.168.218.30,test,56,0,1,1
192.168.189.124,test,2,0,30,0
192.168.16.32,user,3,0,30,0
192.168.227.3,guest,2,0,10,0
192.168.163.251,test,1,1,1,0
192.168.214.121,test,156,0,1,1
192.168.89.137,admin,1,0,1,0
192.168.126.156,admin,143,0,1,1
192.168.165.84,user,55,0,1,1
192.168.105.70,test,3,0,1,0
192.168.60.82,test,0,0,5,0
192.168.147.45,test,38,0,30,1
192.168.49.173,user,3,0,30,0
192.168.243.172,guest,72,0,10,1
192.168.184.117,test,122,0,30,1
192.168.31.254,user,0,0,1,0
192.168.249.159,admin,3,1,10,0
192.168.226.205,user,0,0,10,0
